query_generation_method,annealing_time,query_graph,num_relations,problem_index,sample_index,valid_ratio,opt_ratio,first_opt_index
IntLog,1000,CHAIN,3,0,8,0.4333,0.0889,56
IntLog,1000,CHAIN,3,0,9,0.4267,0.1044,10
IntLog,1000,CHAIN,3,0,10,0.3856,0.0956,4
IntLog,1000,CHAIN,3,0,11,0.4278,0.1089,0
IntLog,1000,CHAIN,3,0,12,0.4300,0.0989,0
IntLog,1000,CHAIN,3,0,13,0.3800,0.1100,1
IntLog,1000,CHAIN,3,0,14,0.4589,0.1233,23
IntLog,1000,CHAIN,3,0,15,0.4256,0.1289,4
IntLog,1000,CHAIN,3,0,16,0.4367,0.1178,0
IntLog,1000,CHAIN,3,0,17,0.4456,0.0844,3
IntLog,1000,CHAIN,3,0,18,0.3922,0.1167,1
IntLog,1000,CHAIN,3,0,19,0.4222,0.0933,3
IntLog,1000,CHAIN,4,0,0,0.0233,0.0056,9
IntLog,1000,CHAIN,4,0,1,0.0144,0.0022,64
IntLog,1000,CHAIN,4,0,2,0.0222,0.0044,111
IntLog,1000,CHAIN,4,0,3,0.0222,0.0011,322
IntLog,1000,CHAIN,4,0,4,0.0200,0.0011,130
IntLog,1000,CHAIN,4,0,5,0.0211,0.0011,285
IntLog,1000,CHAIN,4,0,6,0.0156,0.0000,None
IntLog,1000,CHAIN,4,0,7,0.0211,0.0000,None
IntLog,1000,CHAIN,4,0,8,0.0144,0.0000,None
IntLog,1000,CHAIN,4,0,9,0.0222,0.0011,475
IntLog,1000,CHAIN,4,0,10,0.0167,0.0011,122
IntLog,1000,CHAIN,4,0,11,0.0156,0.0000,None
IntLog,1000,CHAIN,4,0,12,0.0211,0.0000,None
IntLog,1000,CHAIN,4,0,13,0.0100,0.0000,None
IntLog,1000,CHAIN,4,0,14,0.0144,0.0011,640
IntLog,1000,CHAIN,4,0,15,0.0156,0.0033,287
IntLog,1000,CHAIN,4,0,16,0.0156,0.0033,87
IntLog,1000,CHAIN,4,0,17,0.0233,0.0011,556
IntLog,1000,CHAIN,4,0,18,0.0100,0.0011,275
IntLog,1000,CHAIN,4,0,19,0.0178,0.0000,None
IntLog,1000,CHAIN,5,0,0,0.0000,0.0000,None
IntLog,1000,CHAIN,5,0,1,0.0044,0.0000,None
IntLog,1000,CHAIN,5,0,2,0.0022,0.0000,None
IntLog,1000,CHAIN,5,0,3,0.0033,0.0000,None
IntLog,1000,CHAIN,5,0,4,0.0000,0.0000,None
IntLog,1000,CHAIN,5,0,5,0.0000,0.0000,None
IntLog,1000,CHAIN,5,0,6,0.0000,0.0000,None
IntLog,1000,CHAIN,5,0,7,0.0022,0.0000,None
IntLog,1000,CHAIN,5,0,8,0.0011,0.0000,None
