vendor,optimizer,opt_level,query_graph_type,density,gateset,num_relations,sample_index,depth
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,15,2897
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,16,2292
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,17,2452
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,18,2287
IBMQ,Tket,1,CHAIN,0.0,Native_gates,6,19,2998
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,0,4780
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,1,5471
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,2,4762
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,3,4872
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,4,4749
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,5,4747
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,6,4074
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,7,4749
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,8,5089
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,9,4421
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,10,5458
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,11,5403
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,12,4660
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,13,4990
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,14,4780
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,15,4167
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,16,4836
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,17,4121
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,18,5096
IBMQ,Tket,1,CHAIN,0.0,Native_gates,7,19,5170
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,0,268
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,1,345
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,2,290
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,3,290
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,4,304
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,5,290
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,6,332
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,7,268
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,8,247
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,9,290
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,10,345
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,11,290
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,12,285
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,13,247
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,14,350
